cdc-center |127.0.0.1 |2025-04-25 13:37:43.919 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.taskexecutor.KvStateService : 92 | Starting the kvState service and its components.
cdc-center |127.0.0.1 |2025-04-25 13:37:43.932 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.rpc.akka.AkkaRpcService : 232 | Starting RPC endpoint for org.apache.flink.runtime.taskexecutor.TaskExecutor at akka://flink/user/rpc/taskmanager_0 .
cdc-center |127.0.0.1 |2025-04-25 13:37:43.945 |  INFO | flink-akka.actor.default-dispatcher-2 | org.apache.flink.runtime.taskexecutor.DefaultJobLeaderService : 123 | Start job leader service.
cdc-center |127.0.0.1 |2025-04-25 13:37:43.946 |  INFO | flink-akka.actor.default-dispatcher-2 | org.apache.flink.runtime.filecache.FileCache : 116 | User file cache uses directory /var/folders/pc/s9vgbj397r9f9mbm71rc39y40000gn/T/flink-dist-cache-db0a04a3-1d81-42cf-b4b5-a7441f3a225c
cdc-center |127.0.0.1 |2025-04-25 13:37:43.973 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.rest.RestServerEndpoint : 139 | Starting rest endpoint.
cdc-center |127.0.0.1 |2025-04-25 13:37:43.975 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.dispatcher.DispatcherRestEndpoint : 126 | Failed to load web based job submission extension. Probable reason: flink-runtime-web is not in the classpath.
cdc-center |127.0.0.1 |2025-04-25 13:37:44.081 |  WARN | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation : 82 | Log file environment variable 'log.file' is not set.
cdc-center |127.0.0.1 |2025-04-25 13:37:44.082 |  WARN | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.webmonitor.WebMonitorUtils$LogFileLocation : 88 | JobManager log files are unavailable in the web dashboard. Log file location not found in environment variable 'log.file' or configuration key 'web.log.path'.
cdc-center |127.0.0.1 |2025-04-25 13:37:44.209 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.rest.RestServerEndpoint : 250 | Rest endpoint listening at localhost:60055
cdc-center |127.0.0.1 |2025-04-25 13:37:44.212 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService : 308 | Proposing leadership to contender http://localhost:60055
cdc-center |127.0.0.1 |2025-04-25 13:37:44.213 |  INFO | mini-cluster-io-thread-1 | org.apache.flink.runtime.webmonitor.WebMonitorEndpoint : 994 | http://localhost:60055 was granted leadership with leaderSessionID=0d371a96-b8cb-4064-ba28-c19a347b2a36
cdc-center |127.0.0.1 |2025-04-25 13:37:44.214 |  INFO | mini-cluster-io-thread-1 | org.apache.flink.runtime.highavailability.nonha.embedded.EmbeddedLeaderService : 256 | Received confirmation of leadership for leader http://localhost:60055 , session=0d371a96-b8cb-4064-ba28-c19a347b2a36
cdc-center |127.0.0.1 |2025-04-25 13:37:44.240 |  INFO | ForkJoinPool.commonPool-worker-8 | org.apache.flink.runtime.rpc.akka.AkkaRpcService : 232 | Starting RPC endpoint for org.apache.flink.runtime.resourcemanager.StandaloneResourceManager at akka://flink/user/rpc/resourcemanager_1 .
